State,Variable,Change,Hectares_needed
Edo,Price,-0.2,276.11845520337073
Edo,Price,-0.1,233.55569103846324
Edo,Price,-0.05,216.84287793176296
Edo,Price,0.05,189.6945026844139
Edo,Price,0.1,178.51933749250082
Edo,Price,0.2,159.70272161403193
Edo,Yield,-0.2,276.11845520337073
Edo,Yield,-0.1,233.55569103846324
Edo,Yield,-0.05,216.84287793176296
Edo,Yield,0.05,189.6945026844139
Edo,Yield,0.1,178.51933749250085
Edo,Yield,0.2,159.70272161403193
Cross River,Price,-0.2,296.58744440124025
Cross River,Price,-0.1,250.49554929226468
Cross River,Price,-0.05,232.43452238797386
Cross River,Price,0.05,203.14109367377085
Cross River,Price,0.1,191.09910451901067
Cross River,Price,0.2,170.84417997202658
Cross River,Yield,-0.2,296.58744440124025
Cross River,Yield,-0.1,250.49554929226463
Cross River,Yield,-0.05,232.43452238797386
Cross River,Yield,0.05,203.14109367377083
Cross River,Yield,0.1,191.09910451901067
Cross River,Yield,0.2,170.84417997202658
Ondo,Price,-0.2,320.4742824116184
Ondo,Price,-0.1,269.22428369198053
Ondo,Price,-0.05,249.2910666626234
Ondo,Price,0.05,217.1375748241914
Ondo,Price,0.1,203.9827555339404
Ondo,Price,0.2,181.93808926030556
Ondo,Yield,-0.2,320.4742824116184
Ondo,Yield,-0.1,269.22428369198053
Ondo,Yield,-0.05,249.2910666626234
Ondo,Yield,0.05,217.13757482419132
Ondo,Yield,0.1,203.98275553394046
Ondo,Yield,0.2,181.93808926030556
