date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year,month,era,match_key
1872/11/30,Scotland,England,0,0,Friendly,Glasgow,Scotland,FALSE,1872,11,1870,1872-11-30|Scotland|England
1873/03/08,England,Scotland,4,2,Friendly,London,England,FALSE,1873,3,1870,1873-03-08|England|Scotland
1874/03/07,Scotland,England,2,1,Friendly,Glasgow,Scotland,FALSE,1874,3,1870,1874-03-07|Scotland|England
1875/03/06,England,Scotland,2,2,Friendly,London,England,FALSE,1875,3,1870,1875-03-06|England|Scotland
1876/03/04,Scotland,England,3,0,Friendly,Glasgow,Scotland,FALSE,1876,3,1870,1876-03-04|Scotland|England
1876/03/25,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,FALSE,1876,3,1870,1876-03-25|Scotland|Wales
1877/03/03,England,Scotland,1,3,Friendly,London,England,FALSE,1877,3,1870,1877-03-03|England|Scotland
1877/03/05,Wales,Scotland,0,2,Friendly,Wrexham,Wales,FALSE,1877,3,1870,1877-03-05|Wales|Scotland
1878/03/02,Scotland,England,7,2,Friendly,Glasgow,Scotland,FALSE,1878,3,1870,1878-03-02|Scotland|England
1878/03/23,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,FALSE,1878,3,1870,1878-03-23|Scotland|Wales
1879/01/18,England,Wales,2,1,Friendly,London,England,FALSE,1879,1,1870,1879-01-18|England|Wales
1879/04/05,England,Scotland,5,4,Friendly,London,England,FALSE,1879,4,1870,1879-04-05|England|Scotland
1879/04/07,Wales,Scotland,0,3,Friendly,Wrexham,Wales,FALSE,1879,4,1870,1879-04-07|Wales|Scotland
1880/03/13,Scotland,England,5,4,Friendly,Glasgow,Scotland,FALSE,1880,3,1880,1880-03-13|Scotland|England
1880/03/15,Wales,England,2,3,Friendly,Wrexham,Wales,FALSE,1880,3,1880,1880-03-15|Wales|England
1880/03/27,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,FALSE,1880,3,1880,1880-03-27|Scotland|Wales
1881/02/26,England,Wales,0,1,Friendly,Blackburn,England,FALSE,1881,2,1880,1881-02-26|England|Wales
1881/03/12,England,Scotland,1,6,Friendly,London,England,FALSE,1881,3,1880,1881-03-12|England|Scotland
1881/03/14,Wales,Scotland,1,5,Friendly,Wrexham,Wales,FALSE,1881,3,1880,1881-03-14|Wales|Scotland
1882/02/18,Northern Ireland,England,0,13,Friendly,Belfast,Northern Ireland,FALSE,1882,2,1880,1882-02-18|Northern Ireland|England
1882/02/25,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,FALSE,1882,2,1880,1882-02-25|Wales|Northern Ireland
1882/03/11,Scotland,England,5,1,Friendly,Glasgow,Scotland,FALSE,1882,3,1880,1882-03-11|Scotland|England
1882/03/13,Wales,England,5,3,Friendly,Wrexham,Wales,FALSE,1882,3,1880,1882-03-13|Wales|England
1882/03/25,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,FALSE,1882,3,1880,1882-03-25|Scotland|Wales
1883/02/03,England,Wales,5,0,Friendly,London,England,FALSE,1883,2,1880,1883-02-03|England|Wales
1883/02/24,England,Northern Ireland,7,0,Friendly,Liverpool,England,FALSE,1883,2,1880,1883-02-24|England|Northern Ireland
1883/03/10,England,Scotland,2,3,Friendly,Sheffield,England,FALSE,1883,3,1880,1883-03-10|England|Scotland
1883/03/12,Wales,Scotland,0,3,Friendly,Wrexham,Wales,FALSE,1883,3,1880,1883-03-12|Wales|Scotland
1883/03/17,Northern Ireland,Wales,1,1,Friendly,Belfast,Northern Ireland,FALSE,1883,3,1880,1883-03-17|Northern Ireland|Wales
1884/01/26,Northern Ireland,Scotland,0,5,British Home Championship,Belfast,Northern Ireland,FALSE,1884,1,1880,1884-01-26|Northern Ireland|Scotland
1884/02/09,Wales,Northern Ireland,6,0,British Home Championship,Wrexham,Wales,FALSE,1884,2,1880,1884-02-09|Wales|Northern Ireland
1884/02/23,Northern Ireland,England,1,8,British Home Championship,Belfast,Northern Ireland,FALSE,1884,2,1880,1884-02-23|Northern Ireland|England
1884/03/15,Scotland,England,1,0,British Home Championship,Glasgow,Scotland,FALSE,1884,3,1880,1884-03-15|Scotland|England
1884/03/17,Wales,England,0,4,British Home Championship,Wrexham,Wales,FALSE,1884,3,1880,1884-03-17|Wales|England
1884/03/29,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,FALSE,1884,3,1880,1884-03-29|Scotland|Wales
1885/02/28,England,Northern Ireland,4,0,British Home Championship,Manchester,England,FALSE,1885,2,1880,1885-02-28|England|Northern Ireland
1885/03/14,England,Wales,1,1,British Home Championship,Blackburn,England,FALSE,1885,3,1880,1885-03-14|England|Wales
1885/03/14,Scotland,Northern Ireland,8,2,British Home Championship,Glasgow,Scotland,FALSE,1885,3,1880,1885-03-14|Scotland|Northern Ireland
1885/03/21,England,Scotland,1,1,British Home Championship,London,England,FALSE,1885,3,1880,1885-03-21|England|Scotland
1885/03/23,Wales,Scotland,1,8,British Home Championship,Wrexham,Wales,FALSE,1885,3,1880,1885-03-23|Wales|Scotland
1885/04/11,Northern Ireland,Wales,2,8,British Home Championship,Belfast,Northern Ireland,FALSE,1885,4,1880,1885-04-11|Northern Ireland|Wales
1885/11/28,United States,Canada,0,1,Friendly,Newark,United States,FALSE,1885,11,1880,1885-11-28|United States|Canada
1886/02/27,Wales,Northern Ireland,5,0,British Home Championship,Wrexham,Wales,FALSE,1886,2,1880,1886-02-27|Wales|Northern Ireland
1886/03/13,Northern Ireland,England,1,6,British Home Championship,Belfast,Northern Ireland,FALSE,1886,3,1880,1886-03-13|Northern Ireland|England
1886/03/20,Northern Ireland,Scotland,2,7,British Home Championship,Belfast,Northern Ireland,FALSE,1886,3,1880,1886-03-20|Northern Ireland|Scotland
1886/03/27,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,1886,3,1880,1886-03-27|Scotland|England
1886/03/29,Wales,England,1,3,British Home Championship,Wrexham,Wales,FALSE,1886,3,1880,1886-03-29|Wales|England
1886/04/10,Scotland,Wales,4,1,British Home Championship,Glasgow,Scotland,FALSE,1886,4,1880,1886-04-10|Scotland|Wales
1886/11/25,United States,Canada,3,2,Friendly,Newark,United States,FALSE,1886,11,1880,1886-11-25|United States|Canada
1887/02/05,England,Northern Ireland,7,0,British Home Championship,Sheffield,England,FALSE,1887,2,1880,1887-02-05|England|Northern Ireland
1887/02/19,Scotland,Northern Ireland,4,1,British Home Championship,Glasgow,Scotland,FALSE,1887,2,1880,1887-02-19|Scotland|Northern Ireland
1887/02/26,England,Wales,4,0,British Home Championship,London,England,FALSE,1887,2,1880,1887-02-26|England|Wales
1887/03/12,Northern Ireland,Wales,4,1,British Home Championship,Belfast,Northern Ireland,FALSE,1887,3,1880,1887-03-12|Northern Ireland|Wales
1887/03/19,England,Scotland,2,3,British Home Championship,Blackburn,England,FALSE,1887,3,1880,1887-03-19|England|Scotland
1887/03/21,Wales,Scotland,0,2,British Home Championship,Wrexham,Wales,FALSE,1887,3,1880,1887-03-21|Wales|Scotland
1888/02/04,England,Wales,5,1,British Home Championship,Crewe,England,FALSE,1888,2,1880,1888-02-04|England|Wales
1888/03/03,Wales,Northern Ireland,11,0,British Home Championship,Wrexham,Wales,FALSE,1888,3,1880,1888-03-03|Wales|Northern Ireland
1888/03/10,Scotland,Wales,5,1,British Home Championship,Edinburgh,Scotland,FALSE,1888,3,1880,1888-03-10|Scotland|Wales
1888/03/17,Scotland,England,0,5,British Home Championship,Glasgow,Scotland,FALSE,1888,3,1880,1888-03-17|Scotland|England
1888/03/24,Northern Ireland,Scotland,2,10,British Home Championship,Belfast,Northern Ireland,FALSE,1888,3,1880,1888-03-24|Northern Ireland|Scotland
1888/04/07,Northern Ireland,England,1,5,British Home Championship,Belfast,Northern Ireland,FALSE,1888,4,1880,1888-04-07|Northern Ireland|England
1888/09/19,Scotland,Canada,4,0,Friendly,Glasgow,Scotland,FALSE,1888,9,1880,1888-09-19|Scotland|Canada
1889/02/23,England,Wales,4,1,British Home Championship,Stoke-on-Trent,England,FALSE,1889,2,1880,1889-02-23|England|Wales
1889/03/02,England,Northern Ireland,6,1,British Home Championship,Liverpool,England,FALSE,1889,3,1880,1889-03-02|England|Northern Ireland
1889/03/09,Scotland,Northern Ireland,7,0,British Home Championship,Glasgow,Scotland,FALSE,1889,3,1880,1889-03-09|Scotland|Northern Ireland
1889/04/13,England,Scotland,2,3,British Home Championship,London,England,FALSE,1889,4,1880,1889-04-13|England|Scotland
1889/04/15,Wales,Scotland,0,0,British Home Championship,Wrexham,Wales,FALSE,1889,4,1880,1889-04-15|Wales|Scotland
1889/04/27,Northern Ireland,Wales,1,3,British Home Championship,Belfast,Northern Ireland,FALSE,1889,4,1880,1889-04-27|Northern Ireland|Wales
1890/02/08,Wales,Northern Ireland,5,2,British Home Championship,Shrewsbury,England,TRUE,1890,2,1890,1890-02-08|Wales|Northern Ireland
1890/03/15,Northern Ireland,England,1,9,British Home Championship,Belfast,Northern Ireland,FALSE,1890,3,1890,1890-03-15|Northern Ireland|England
1890/03/15,Wales,England,1,3,British Home Championship,Wrexham,Wales,FALSE,1890,3,1890,1890-03-15|Wales|England
1890/03/22,Scotland,Wales,5,0,British Home Championship,Paisley,Scotland,FALSE,1890,3,1890,1890-03-22|Scotland|Wales
1890/03/29,Northern Ireland,Scotland,1,4,British Home Championship,Belfast,Northern Ireland,FALSE,1890,3,1890,1890-03-29|Northern Ireland|Scotland
1890/04/05,Scotland,England,1,1,British Home Championship,Glasgow,Scotland,FALSE,1890,4,1890,1890-04-05|Scotland|England
1891/02/07,Northern Ireland,Wales,7,2,British Home Championship,Belfast,Northern Ireland,FALSE,1891,2,1890,1891-02-07|Northern Ireland|Wales
1891/03/07,England,Wales,4,1,British Home Championship,Sunderland,England,FALSE,1891,3,1890,1891-03-07|England|Wales
1891/03/07,England,Northern Ireland,6,1,British Home Championship,Wolverhampton,England,FALSE,1891,3,1890,1891-03-07|England|Northern Ireland
1891/03/21,Wales,Scotland,3,4,British Home Championship,Wrexham,Wales,FALSE,1891,3,1890,1891-03-21|Wales|Scotland
1891/03/28,Scotland,Northern Ireland,2,1,British Home Championship,Glasgow,Scotland,FALSE,1891,3,1890,1891-03-28|Scotland|Northern Ireland
1891/04/04,England,Scotland,2,1,British Home Championship,Blackburn,England,FALSE,1891,4,1890,1891-04-04|England|Scotland
1892/02/27,Wales,Northern Ireland,1,1,British Home Championship,Bangor,Wales,FALSE,1892,2,1890,1892-02-27|Wales|Northern Ireland
1892/03/05,Northern Ireland,England,0,2,British Home Championship,Belfast,Northern Ireland,FALSE,1892,3,1890,1892-03-05|Northern Ireland|England
