Bank Name Used,Bank Name,Bank Revenue,Source
Accessbank,Access Bank Plc,4878000000000,https://accessholdingsplc.com/wp-content/uploads/2025/04/PRESS-RELEASE-ACCESS-HOLDINGS-FY-24-RESULTS.pdf
Gtbank,Guaranty Trust Bank Limited,467850000000,https://gtbank-plc.files.svdcdn.com/production/financial-information/DECEMBER-2024-FULL-YEAR-INVESTOR-PRESENTATION_2025-04-01-051737_dnwl.pdf
Zenithbank,Zenith Bank Plc,3970000000000,https://africanfinancials.com/document/ng-zenith-2024-ar-00/
Firstbank,First Bank of Nigeria Limited,3200000000000,https://first-holdco.com/wp-content/uploads/2025/04/First-HoldCo-Plc_-FY-2024_-Results-Presentation_.pdf
UBA,United Bank for Africa Plc,3180000000000,https://www.ubagroup.com/investors/financial-reports/
Polarisbank,Polaris Bank Limited,157590000000,https://nairametrics.com/2024/09/23/polaris-bank-drives-impressive-profitability-with-operating-efficiency/
FCMB,First City Monument Bank Limited,794800000000,https://techpoint.africa/news/fcmb-groups-gross-earnings-soars-53-9-in-2024/
Unionbank,Union Bank of Nigeria Plc,333000000000,https://www.unionbankng.com/june-2024-abridged-financial-statements-1/
Sterlingbank,Sterling Bank Plc,337190000000,https://africanfinancials.com/document/ng-sterln-2024-ar-00/
Fidelitybank,Fidelity Bank Plc,1043400000000,https://www.fidelitybank.ng/documents/2024-Fidelity-Bank-Annual-Report.pdf
Stanbicibtc,Stanbic IBTC Bank Plc,823310000000,https://africanfinancials.com/document/ng-ibtc-2024-ar-00/
Jaizbank,Jaiz Bank Plc,82870000000,https://africanfinancials.com/document/ng-jaizbank-2024-ar-00/
Tajbank,TAJBank Limited,43100000000,https://tajbank.com/wp-content/uploads/2024/08/2023-TAJBank-Full-Year-audited-accounts_15_03_2024_CBN-Approved.pdf
Wema,Wema Bank Plc,430260000000,https://proshare.co/articles/wema-bank-full-year-2024-report-higher-interest-and-non-interest-income-sustains-gross-earnings-rally?category=Stock+%26+Analyst+Updates&classification=Read&menu=Market
Globank,Globus Bank Plc,142000000000,https://businessday.ng/companies/article/globus-bank-to-extend-profitability-streak-as-lender-doubled-pbt-in-2024/
Providusbank,Providus Bank limited,269000000000,https://www.providusbank.com/storage/documents/YustVM57qHXfRs9tRBGIEjW7GqZqo4vMpz4NZNwv.pdf?utm_
Keystonebank,Keystone Bank Limited,59000000000,https://www.keystonebankng.com/about-us/?utm_source
