State,Year,Yield_CPO_t_per_ha,Price_N_per_t,Revenue_per_ha,Opex_per_ha,Annualised_Capex_per_ha,Profit_per_ha_base,Profit_per_ha_cons,Profit_per_ha_opt,Hectares_needed_base,Investment_required_base,ROI_base,Payback_years_base,Hectares_needed_cons,Investment_required_cons,ROI_cons,Payback_years_cons,Hectares_needed_opt,Investment_required_opt,ROI_opt,Payback_years_opt
Edo,2020,5.0,1320000.0,6600000.0,1100000.0,321309.0720951855,5178690.9279048145,2626690.9279048145,7400690.927904816,193.09899237500514,463437581.7000123,2.157787886627006,0.4634375817000123,380.7071434923834,913697144.3817202,1.0944545532936727,0.9136971443817202,135.12251892987868,324294045.4317088,3.0836212199603406,0.3242940454317088
Edo,2021,5.0,1320000.0,6600000.0,1155000.0,321309.0720951855,5123690.9279048145,2566190.9279048145,7351190.927904816,195.1718036999006,468412328.87976146,2.1348712199603392,0.4684123288797615,389.68261836092506,935238284.0662202,1.0692462199603394,0.9352382840662201,136.03238030507973,326477712.7321913,3.0629962199603407,0.32647771273219134
Edo,2022,5.0,1320000.0,6600000.0,1212750.0,321309.0720951855,5065940.9279048145,2502665.9279048145,7299215.927904816,197.3966957434663,473752069.7843191,2.1108087199603394,0.4737520697843191,399.57390590967987,958977374.1832317,1.0427774699603394,0.9589773741832317,137.00101625669296,328802439.0160631,3.0413399699603403,0.3288024390160631
Edo,2023,5.0,1320000.0,6600000.0,1273387.5000000002,321309.0720951855,5005303.4279048145,2435964.677904814,7244642.177904816,199.78808765617495,479491410.3748199,2.0855430949603395,0.47949141037481985,410.5149836819905,985235960.8367772,1.0149852824603391,0.9852359608367772,138.03304227362193,331279301.45669264,3.0186009074603404,0.33127930145669265
Edo,2024,5.0,1320000.0,6600000.0,1337056.8750000002,321309.0720951855,4941634.0529048145,2365928.365404814,7187339.740404816,202.36221243703292,485669309.84887904,2.0590141887103393,0.485669309848879,422.6670657583069,1014400957.8199365,0.9858034855853391,1.0144009578199364,139.13353704129707,333920488.899113,2.99472489183534,0.333920488899113
Cross River,2020,4.7,1320000.0,6204000.0,1045000.0,321309.0720951855,4837690.9279048145,2437710.9279048145,6927470.927904815,206.71018775337436,496104450.60809845,2.0157045532936726,0.49610445060809844,410.2209119846252,984530188.7631005,1.015712886627006,0.9845301887631005,144.35282520953803,346446780.50289124,2.88644621996034,0.34644678050289124
Cross River,2021,4.7,1320000.0,6204000.0,1097250.0,321309.0720951855,4785440.9279048145,2380235.9279048145,6880445.927904815,208.96715998912663,501521183.9739039,1.9939337199603395,0.5015211839739039,420.1264203587763,1008303408.861063,0.9917649699603395,1.008303408861063,145.339417020099,348814600.84823763,2.8668524699603397,0.3488146008482376
Cross River,2022,4.7,1320000.0,6204000.0,1152112.5,321309.0720951855,4730578.4279048145,2319887.1779048145,6831069.677904815,211.3906396945421,507337535.266901,1.9710743449603394,0.5073375352669011,431.05544507692014,1034533068.1846083,0.9666196574603394,1.0345330681846083,146.38995752517548,351335898.06042117,2.8462790324603393,0.35133589806042115
Cross River,2023,4.7,1320000.0,6204000.0,1209718.1250000002,321309.0720951855,4672972.8029048145,2256520.990404814,6779224.615404815,213.99653757419256,513591690.17806214,1.9470720012103393,0.5135916901780622,443.16006997151953,1063584167.9316468,0.9402170793353393,1.063584167931647,147.50949507228947,354022788.1734947,2.82467692308534,0.3540227881734947
Cross River,2024,4.7,1320000.0,6204000.0,1270204.0312500002,321309.0720951855,4612486.8966548145,2189986.4935298143,6724787.299779816,216.80278392232302,520326681.41357523,1.9218695402728394,0.5203266814135752,456.62382071964413,1095897169.727146,0.9124943723040893,1.095897169727146,148.70358799790475,356888611.1949714,2.80199470824159,0.3568886111949714
Ondo,2020,4.5,1320000.0,5940000.0,1078000.0,321309.0720951855,4540690.9279048145,2235090.9279048145,6549290.927904815,220.230800967866,528553922.3228784,1.8919545532936726,0.5285539223228785,447.4090908406152,1073781818.0174766,0.9312878866270059,1.0737818180174765,152.68828503850114,366451884.0924027,2.72887121996034,0.3664518840924027
Ondo,2021,4.5,1320000.0,5940000.0,1131900.0,321309.0720951855,4486790.9279048145,2175800.9279048145,6500780.927904815,222.87644244367934,534903461.86483043,1.8694962199603393,0.5349034618648304,459.60087027030966,1103042088.6487432,0.9065837199603394,1.103042088648743,153.8276725658401,369186414.1580162,2.7086587199603396,0.36918641415801623
Ondo,2022,4.5,1320000.0,5940000.0,1188495.0,321309.0720951855,4430195.9279048145,2113546.4279048145,6449845.427904815,225.72365111466593,541736762.6751982,1.8459149699603394,0.5417367626751982,473.1384117221937,1135532188.133265,0.8806443449603394,1.135532188133265,155.04247523104482,372101940.55450755,2.68743559496034,0.37210194055450757
Ondo,2023,4.5,1320000.0,5940000.0,1247919.7500000002,321309.0720951855,4370771.1779048145,2048179.202904814,6396363.152904815,228.792576709395,549102184.102548,1.8211546574603394,0.549102184102548,488.2385284362608,1171772468.247026,0.8534080012103391,1.1717724682470259,156.33884069666442,375213217.6719946,2.6651513137103393,0.3752132176719946
Ondo,2024,4.5,1320000.0,5940000.0,1310315.7375000003,321309.0720951855,4308375.190404814,1979543.6166548142,6340206.764154815,232.10606221739948,557054549.3217587,1.795156329335339,0.5570545493217588,505.16694433329906,1212400666.3999178,0.8248098402728392,1.2124006663999178,157.7235628424029,378536550.821767,2.6417528183978396,0.37853655082176696
