date,var3,var1,var5,var2,var4
2018-01-01,8.4,92,33,0.09,0
2018-01-02,5.8,84,29,-0.12,0
2018-01-03,11.0,102,21,-0.09,0
2018-01-04,10.8,114,17,-0.25,0
2018-01-05,7.6,111,37,-0.04,0
2018-01-06,12.9,85,31,0.15,0
2018-01-07,6.7,86,27,0.11,0
2018-01-08,4.5,100,24,0.05,0
2018-01-09,13.6,96,31,0.07,0
2018-01-10,7.9,94,29,0.02,0
2018-01-11,7.8,96,21,0.11,0
2018-01-12,6.6,119,30,0.18,0
2018-01-13,17.7,125,26,-0.05,0
2018-01-14,6.4,103,38,0.15,0
2018-01-15,12.7,125,30,0.22,0
2018-01-16,12.7,100,14,0.09,0
2018-01-17,12.1,108,35,0.21,0
2018-01-18,9.5,97,36,0.43,0
2018-01-19,6.5,116,23,0.15,0
2018-01-20,10.7,131,21,0.21,0
2018-01-21,12.1,115,29,0.1,0
2018-01-22,8.1,105,23,0.2,0
2018-01-23,12.4,118,25,0.24,0
2018-01-24,11.5,95,36,0.22,0
2018-01-25,15.9,130,26,0.11,0
2018-01-26,7.6,113,24,0.24,0
2018-01-27,17.7,111,32,0.37,0
2018-01-28,14.1,118,27,0.28,0
2018-01-29,12.0,120,27,0.34,0
2018-01-30,12.8,95,28,0.22,0
2018-01-31,19.5,124,25,0.33,0
2018-02-01,6.1,104,25,0.29,0
2018-02-02,11.9,126,15,0.17,0
2018-02-03,6.1,132,22,0.31,0
2018-02-04,13.7,131,23,0.18,0
2018-02-05,13.1,120,26,0.23,0
2018-02-06,11.8,119,32,0.32,0
2018-02-07,8.1,101,26,0.33,0
2018-02-08,7.1,132,21,0.19,0
2018-02-09,11.9,108,32,0.42,0
2018-02-10,16.3,119,22,0.38,0
2018-02-11,9.2,110,28,0.26,0
2018-02-12,11.6,103,27,0.18,0
2018-02-13,8.0,127,23,0.33,0
2018-02-14,11.3,99,33,0.31,0
2018-02-15,12.1,133,21,0.37,0
2018-02-16,9.0,113,31,0.33,0
2018-02-17,7.5,98,20,0.17,0
2018-02-18,11.1,123,18,0.33,0
2018-02-19,11.1,100,18,0.35,0
2018-02-20,7.3,112,21,0.45,0
2018-02-21,12.2,134,32,0.32,0
2018-02-22,10.1,102,29,0.56,0
2018-02-23,10.8,141,18,0.21,0
2018-02-24,15.4,100,33,0.54,0
2018-02-25,8.6,112,32,0.39,0
2018-02-26,11.7,137,16,0.5,0
2018-02-27,8.7,116,39,0.43,0
2018-02-28,16.0,106,30,0.54,0
2018-03-01,13.6,119,28,0.39,0
2018-03-02,8.6,114,29,0.32,0
2018-03-03,17.7,144,23,0.58,0
2018-03-04,12.3,117,23,0.43,0
2018-03-05,14.9,141,32,0.47,0
2018-03-06,13.7,147,19,0.57,0
2018-03-07,10.2,124,29,0.35,0
2018-03-08,15.8,148,18,0.52,0
2018-03-09,10.5,121,22,0.4,0
2018-03-10,20.7,152,29,0.45,0
2018-03-11,6.9,107,28,0.47,0
2018-03-12,18.4,138,22,0.32,0
2018-03-13,12.5,128,25,0.39,0
2018-03-14,13.2,123,38,0.61,0
2018-03-15,16.1,136,33,0.57,0
2018-03-16,12.0,139,28,0.47,0
2018-03-17,12.9,103,43,0.51,0
2018-03-18,3.1,112,22,0.46,0
2018-03-19,11.8,140,25,0.62,0
2018-03-20,11.0,138,22,0.47,1
2018-03-21,11.6,154,10,0.51,0
2018-03-22,13.7,143,23,0.61,0
2018-03-23,16.5,153,16,0.42,0
2018-03-24,16.1,140,29,0.65,0
2018-03-25,12.6,119,24,0.34,0
2018-03-26,8.9,109,25,0.66,0
2018-03-27,15.6,145,28,0.46,0
2018-03-28,14.1,137,22,0.47,0
2018-03-29,13.4,106,34,0.31,0
2018-03-30,14.6,123,27,0.45,0
2018-03-31,15.5,154,21,0.4,0
2018-04-01,10.3,130,22,0.44,0
2018-04-02,10.6,126,27,0.49,0
2018-04-03,11.2,128,23,0.6,0
2018-04-04,10.6,115,22,0.52,0
2018-04-05,13.1,123,24,0.53,0
2018-04-06,14.4,123,31,0.39,0
2018-04-07,10.5,107,31,0.41,0
2018-04-08,14.4,144,25,0.68,0
2018-04-09,12.9,125,25,0.42,0
2018-04-10,13.1,146,11,0.66,0
2018-04-11,12.0,148,14,0.47,0
2018-04-12,6.2,115,25,0.49,0
2018-04-13,11.7,138,16,0.6,0
2018-04-14,14.2,128,21,0.62,0
2018-04-15,12.8,149,17,0.47,0
2018-04-16,10.7,114,24,0.45,0
2018-04-17,15.2,138,29,0.48,0
2018-04-18,15.0,134,22,0.51,0
2018-04-19,8.6,118,31,0.57,0
2018-04-20,14.0,110,28,0.47,0
2018-04-21,17.0,136,29,0.53,0
2018-04-22,10.6,140,27,0.63,0
2018-04-23,9.3,118,23,0.5,0
2018-04-24,17.1,135,32,0.49,0
2018-04-25,11.8,122,23,0.31,0
