Date,"Total enabled membership","Enabled full members","Enabled guests","Daily active people","Daily people posting messages","Weekly active people","Weekly people posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percentage of messages, public channels","Percentage of messages, private channels","Percentage of messages, DMs","Percentage of views, public channels","Percentage of views, private channels","Percentage of views, DMs","Total full members","Total guests","Total members","Total claimed full members","Total claimed guests","Total claimed members","Files uploaded","Messages posted by members","Public channels, single-workspace","Messages posted","Messages posted by apps","Monthly active people","Monthly people posting messages"
2025-10-15,6731,6731,0,6030,3802,6113,3909,11599,7967,0,9141,0.404,0.2775,0.3184,0.7544,0.191,0.0546,6735,0,6735,6731,0,6731,497,28707,43,40157,3,6125,3927
2025-10-16,10049,10049,0,7063,3457,9102,5840,10052,10195,0,16443,0.274,0.2779,0.4482,0.6347,0.2497,0.1156,10058,0,10058,10049,0,10049,778,36690,44,45960,3,9115,5852
2025-10-17,11369,11369,0,6310,2955,10405,6854,7309,11903,0,17350,0.1999,0.3256,0.4745,0.4617,0.3867,0.1516,11411,0,11411,11369,0,11369,936,36562,45,72528,2,10417,6864
2025-10-18,12064,12064,0,5104,2575,11029,7415,6786,15588,0,15448,0.1794,0.4121,0.4084,0.3672,0.5247,0.1082,12125,0,12125,12064,0,12064,847,37822,46,42516,1,11042,7424
2025-10-19,12330,12330,0,4621,2364,11314,7747,3924,12435,0,16186,0.1206,0.3821,0.4973,0.3837,0.4463,0.17,12391,0,12391,12330,0,12330,663,32545,47,35488,0,11328,7756
2025-10-20,12355,12355,0,5267,2729,11443,7967,4245,14550,0,29583,0.0877,0.3008,0.6115,0.3881,0.4021,0.2099,12416,0,12416,12355,0,12355,1144,48378,47,50807,0,11469,7982
2025-10-21,12371,12371,0,4315,2347,11478,8092,3624,14239,0,25969,0.0827,0.3249,0.5925,0.351,0.4155,0.2335,12438,0,12438,12371,0,12371,1184,43832,49,47434,74,11522,8146
2025-10-22,12389,12389,0,4331,2489,10574,6951,3028,10585,0,28296,0.0723,0.2526,0.6752,0.356,0.3907,0.2533,12452,0,12452,12389,0,12389,1727,41909,50,47551,3,11564,8239
2025-10-23,12387,12387,0,4484,2719,9068,5922,3861,11676,0,28325,0.088,0.2662,0.6458,0.4149,0.4045,0.1806,12449,0,12449,12387,0,12387,1167,43862,50,48437,1,11591,8319
2025-10-24,12391,12391,0,4179,2349,7930,5324,3703,14207,0,25003,0.0863,0.3311,0.5826,0.3623,0.444,0.1937,12454,0,12454,12391,0,12391,1097,42913,50,46852,0,11611,8376
2025-10-25,12389,12389,0,3498,1807,7481,5006,3590,11318,0,20264,0.1021,0.3218,0.5761,0.3331,0.4559,0.211,12453,0,12453,12389,0,12389,1161,35172,52,44827,17,11633,8411
