Name,Description,Visibility,Created,Total membership,Messages posted,Members who posted,Members who viewed
affirmations,,public,10/16/2025,24,55,7,35
anime,,public,10/15/2025,84,1515,85,181
announcement,"Share announcements and updates about company news, upcoming events, or teammates who deserve some kudos. ⭐",public,8/18/2025,805,16847,2070,8528
announcement-projects,DO NOT SEND MESSAGES TO THIS CHANNEL.,public,10/13/2025,799,3875,1130,8921
books,,public,10/31/2025,107,506,62,174
bug-fixes,,public,12/1/2025,130,73,14,122
bug-reports,,public,12/1/2025,398,1613,153,408
bugreports-baihu-manifestme,,public,12/1/2025,84,219,38,90
bugreports-contentq,,public,12/1/2025,78,297,34,89
bugreports-deenai,,public,12/1/2025,162,1020,89,185
bugreports-hngconnect,,public,12/1/2025,116,355,48,120
bugreports-inventrix,,public,12/1/2025,23,108,17,30
bugreports-legalwatchdog,,public,12/1/2025,123,756,74,144
bugreports-nora,,public,12/1/2025,116,851,62,122
bugreports-openschoolportal,,public,12/1/2025,92,311,41,98
bugreports-rea,,public,12/1/2025,78,252,40,86
bugreports-sitelytics,,public,12/1/2025,129,550,77,147
bugreports-storytime,,public,12/1/2025,111,503,61,125
bugreports-telex,,public,12/1/2025,134,523,53,135
bugsreport-inventrix,,public,12/1/2025,67,221,40,74
chat-general,,public,8/27/2025,624,3545,1478,6700
chat-interns-only,,public,10/15/2025,424,1468,154,771
chat-internship,,public,10/13/2025,610,2900,1558,6985
chat-mentors-only,"Interns this is where your mentors rant, listen and be blessed. If you leave this channel -1 point. You can reply in the thread but do not send messages directly to the channel.",public,10/20/2025,697,6422,297,1310
chat-random,Other channels are for work. This one’s just for fun. Get to know your teammates and show your lighter side. 🎈,public,8/18/2025,710,1503,565,5285
checkin,,public,11/5/2025,800,5062,439,1977
cynthia-oforie-go-home,,public,10/25/2025,58,628,140,921
english-reading-writing-pronunciation,,public,10/15/2025,229,524,89,552
fight,,public,10/14/2025,227,591,115,412
games,"When you join, pay homage to the Elders.
Our Host (Boss of all Elderss) - <@U09B5QD8B7C>
Chief Game Lord - <@U09AYDX7AD9>

Game Lords
- <@U09AFJ37PC7>
- <@U09AXD8663C>",public,8/25/2025,340,6492,396,791
hng-sdk,,public,10/14/2025,31,43,8,61
hng-va-website,,public,11/10/2025,6,52,7,7
interns-rant,,public,10/22/2025,178,327,81,344
introduce-yourself,,public,10/13/2025,602,5877,4001,7660
love,,public,8/24/2025,271,4376,320,742
memes,,public,10/13/2025,572,505,164,3028
mental-health,,public,8/24/2025,645,9601,757,4060
movie-night,,public,8/26/2025,210,3139,190,564
music,,public,8/24/2025,134,5085,108,274
open-school-portal-mobile-devs,,public,11/25/2025,8,113,7,12
open-school-portal-pms,,public,11/16/2025,18,2396,30,35
ottoman-team-leads,,public,11/25/2025,19,554,17,21
playing-cupid,,public,10/25/2025,86,1020,162,595
premium-payment,"To make payment for HNG Premium, kindly use the bank details below:

Account Number: 5025044400
Account Name: HNG TECH LIMITED - NETWORK
Bank Name: CARBON
Amount to be paid: 7,000
Send your bank receipt and email address here when you're done.",public,10/15/2025,173,4132,673,949
resources,,public,10/13/2025,567,156,90,3314
rules,<https://docs.google.com/document/d/12aGLcW3SOcSEIo2nxnAbVC8Z5vtSEoNFlT7toz65bfs/edit?usp=drivesdk>,public,10/14/2025,601,21,10,791
schoolbase-automation,,public,11/29/2025,2,25,2,2
sherlock-holmes,,public,11/22/2025,75,501,31,77
shoot-your-shot,<https://www.secretmessage.link/secret/6934924528700-2/>,public,12/6/2025,640,1637,157,387
smile-while-at-it,,public,12/6/2025,51,263,22,49
social,,public,10/19/2025,41,69,33,105
sports,,public,8/24/2025,533,2535,353,3993
testing,,public,11/29/2025,0,2,0,1
z-business-ideas-and-feedback,,public,10/14/2025,43,59,12,118
z-gamers-lounge,,public,10/14/2025,18,21,4,28
z-snaps-like-snapchat,,public,10/14/2025,17,26,4,32
